acronym,name,count,density (cells/mm^3)
AIp6a,"Agranular insular area, posterior part, layer 6a",1595.5,7324.582167706763
AIp6b,"Agranular insular area, posterior part, layer 6b",68.5,6582.582582582582
AIv,"Agranular insular area, ventral part",7142.5,8237.435352206585
AIv1,"Agranular insular area, ventral part, layer 1",1183.5,9460.90432175868
AIv2/3,"Agranular insular area, ventral part, layer 2/3",1973.5,6640.588853838066
AIv5,"Agranular insular area, ventral part, layer 5",3411.0,9480.349155339383
AIv6a,"Agranular insular area, ventral part, layer 6a",569.5,6822.912766754025
AIv6b,"Agranular insular area, ventral part, layer 6b",5.0,3265.3061224489793
AM,Anteromedial nucleus,342.0,1664.7398843930637
AMB,Nucleus ambiguus,87.5,4055.0325850832733
AMBd,"Nucleus ambiguus, dorsal division",61.0,5749.631811487481
AMBv,"Nucleus ambiguus, ventral division",26.5,2415.954415954416
AMd,"Anteromedial nucleus, dorsal part",229.5,1874.1865509761387
AMv,"Anteromedial nucleus, ventral part",112.5,1355.6768970062135
AN,Ansiform lobule,13231.5,2448.839368079514
ANcr1,Crus 1,7291.5,2561.3418810924736
ANcr2,Crus 2,5940.0,2323.5601518235326
AOB,Accessory olfactory bulb,2367.0,7262.824815418545
AOBgl,"Accessory olfactory bulb, glomerular layer",342.5,4439.044147428109
AOBgr,"Accessory olfactory bulb, granular layer",1206.5,10943.310657596372
AOBmi,"Accessory olfactory bulb, mitral layer",818.0,5906.137184115523
AON,Anterior olfactory nucleus,33817.5,13887.912116117604
AP,Area postrema,571.0,20990.235496840894
APN,Anterior pretectal nucleus,737.0,1155.62524500196
APr,Area prostriata,196.0,1214.32720232333
AQ,cerebral aqueduct,2049.5,9783.545908853584
ARH,Arcuate hypothalamic nucleus,1822.0,12615.817375311046
ASO,Accessory supraoptic group,39.0,12932.642487046633
AT,Anterior tegmental nucleus,17.5,813.953488372093
ATN,Anterior group of the dorsal thalamus,1625.5,1506.029503307903
AUD,Auditory areas,15714.5,5423.877989063023
AUDd,Dorsal auditory area,2304.0,3795.9120630180714
AUDd1,"Dorsal auditory area, layer 1",334.0,3383.349161126939
AUDd2/3,"Dorsal auditory area, layer 2/3",642.5,3930.7905553962332
AUDd4,"Dorsal auditory area, layer 4",286.0,4307.837138150154
AUDd5,"Dorsal auditory area, layer 5",565.5,3302.7924803796313
AUDd6a,"Dorsal auditory area, layer 6a",413.5,4487.7056130235715
AUDd6b,"Dorsal auditory area, layer 6b",62.5,4153.686396677051
AUDp,Primary auditory area,6679.5,6212.946545359417
AUDp1,"Primary auditory area, layer 1",1248.5,6616.760516727392
AUDp2/3,"Primary auditory area, layer 2/3",1879.0,7971.364178708736
AUDp4,"Primary auditory area, layer 4",948.5,8082.0130475302885
AUDp5,"Primary auditory area, layer 5",1829.5,5123.304454362475
AUDp6a,"Primary auditory area, layer 6a",657.5,4411.826378695743
AUDp6b,"Primary auditory area, layer 6b",116.5,4282.596209075244
AUDpo,Posterior auditory area,1713.5,5612.282497441147
AUDpo1,"Posterior auditory area, layer 1",327.0,5826.280623608018
AUDpo2/3,"Posterior auditory area, layer 2/3",570.5,7788.39590443686
AUDpo4,"Posterior auditory area, layer 4",237.5,6386.554621848741
AUDpo5,"Posterior auditory area, layer 5",392.0,4321.7915590008615
AUDpo6a,"Posterior auditory area, layer 6a",154.5,3930.047694753577
AUDpo6b,"Posterior auditory area, layer 6b",32.0,3663.685152057245
AUDv,Ventral auditory area,5017.5,5514.304358278669
AUDv1,"Ventral auditory area, layer 1",871.0,6038.128249566726
AUDv2/3,"Ventral auditory area, layer 2/3",1106.0,5762.2924128948225
AUDv4,"Ventral auditory area, layer 4",723.5,6748.87042705145
AUDv5,"Ventral auditory area, layer 5",1481.0,4903.719799265353
AUDv6a,"Ventral auditory area, layer 6a",738.0,5226.51322341485
AUDv6b,"Ventral auditory area, layer 6b",98.0,4206.572769953052
AV,Anteroventral nucleus of thalamus,500.5,2404.4437772106294
AVP,Anteroventral preoptic nucleus,237.5,5136.870564379858
AVPV,Anteroventral periventricular nucleus,1072.0,11561.846983485
Acs5,Accessory trigeminal nucleus,8.0,1135.2549889135253
B,Barrington's nucleus,44.5,5662.027833001988
BA,Bed nucleus of the accessory olfactory tract,81.0,6496.240601503759
BAC,Bed nucleus of the anterior commissure,6.0,1580.246913580247
BLA,Basolateral amygdalar nucleus,4554.5,4795.472492761253
BLAa,"Basolateral amygdalar nucleus, anterior part",2300.0,5973.056322025645
BLAp,"Basolateral amygdalar nucleus, posterior part",1292.0,3635.116718688179
BLAv,"Basolateral amygdalar nucleus, ventral part",962.5,4599.417606212201
BMA,Basomedial amygdalar nucleus,4254.5,5726.1103633916555
BMAa,"Basomedial amygdalar nucleus, anterior part",2384.0,6205.808183519076
BMAp,"Basomedial amygdalar nucleus, posterior part",1870.5,5212.575111033702
BS,Brain stem,228476.0,3803.465252147803
BST,Bed nuclei of the stria terminalis,2087.5,3114.436907009814
CA,Ammon's horn,18665.5,2202.475727618338
CA1,Field CA1,11892.0,2329.445252123345
CA2,Field CA2,392.0,1650.9607791524086
CA3,Field CA3,6381.5,2037.3431771132116
CB,Cerebellum,51642.5,1915.919407935734
CBN,Cerebellar nuclei,96.5,108.22556338274978
CBX,Cerebellar cortex,50651.5,1974.7558431938246
CEA,Central amygdalar nucleus,3366.0,5110.162254483348
CEAc,"Central amygdalar nucleus, capsular part",716.0,4623.083131557707
CEAl,"Central amygdalar nucleus, lateral part",811.5,6246.812605244167
CEAm,"Central amygdalar nucleus, medial part",1838.5,4917.007939824489
CENT,Central lobule,3038.0,1483.5908587997405
CENT2,Lobule II,1389.5,2069.247952345495
CENT3,Lobule III,1648.5,1197.833762871967
CH,Cerebrum,1014305.5,7350.944573907589
CL,Central lateral nucleus of the thalamus,66.5,369.66906974724225
CLA,Claustrum,1794.0,6516.971279373369
CLI,Central linear nucleus raphe,141.5,3346.6371027346636
CM,Central medial nucleus of the thalamus,951.5,7478.32494166769
CN,Cochlear nuclei,1760.5,2165.062162525701
CNU,Cerebral nuclei,70423.5,2590.353669659652
COA,Cortical amygdalar area,9641.5,5905.124647112301
COAa,"Cortical amygdalar area, anterior part",3941.5,10261.400154578367
COAp,"Cortical amygdalar area, posterior part",5700.0,4565.021523676043
COApl,"Cortical amygdalar area, posterior part, lateral zone",3126.5,5202.027817496425
COApm,"Cortical amygdalar area, posterior part, medial zone",2573.5,3973.8461167273867
COPY,Copula pyramidis,1211.0,966.5527648217893
CP,Caudoputamen,13456.0,1034.266416221903
CS,Superior central nucleus raphe,1579.0,5222.532299741602
CTX,Cerebral cortex,943882.0,8519.083745548554
CTXpl,Cortical plate,922463.5,8674.381059009871
CTXsp,Cortical subplate,21418.5,4810.173488293751
CU,Cuneate nucleus,692.5,4158.378682679678
CUL,Culmen,5415.5,1606.042492064595
"CUL4, 5",Lobules IV-V,5415.5,1606.042492064595
CUN,Cuneiform nucleus,310.5,1126.5944781450196
DCN,Dorsal column nuclei,1214.0,5851.043000225921
DCO,Dorsal cochlear nucleus,352.5,1154.6138492246275
DEC,Declive (VI),5847.0,3497.761368416133
DG,Dentate gyrus,5091.5,1543.3683981187214
DG-mo,"Dentate gyrus, molecular layer",2036.5,944.347435460849
DG-po,"Dentate gyrus, polymorph layer",1183.0,3460.4872251931074
DG-sg,"Dentate gyrus, granule cell layer",1872.0,2338.3102055155455
DMH,Dorsomedial nucleus of the hypothalamus,1561.0,8218.492925304376
DMX,Dorsal motor nucleus of the vagus nerve,777.5,8933.572710951526
DN,Dentate nucleus,10.5,62.46514221974345
DORpm,"Thalamus, polymodal association cortex related",19277.5,3032.759684472642
DORsm,"Thalamus, sensory-motor cortex related",3001.0,898.4651656694843
DP,Dorsal peduncular area,3103.0,12329.546160054635
DR,Dorsal nucleus raphe,923.0,11397.260273972603
DT,Dorsal terminal nucleus of the accessory optic tract,18.0,3182.3204419889503
DTN,Dorsal tegmental nucleus,300.0,5784.874962338054
ECT,Ectorhinal area,6828.5,7975.763769755813
ECT1,Ectorhinal area/Layer 1,1401.0,10905.375820968136
ECT2/3,Ectorhinal area/Layer 2/3,2022.0,8458.59206484084
ECT5,Ectorhinal area/Layer 5,1808.5,6840.661938534278
ECT6a,Ectorhinal area/Layer 6a,1423.5,7308.78459687124
ECT6b,Ectorhinal area/Layer 6b,173.5,5881.355932203391
ECU,External cuneate nucleus,467.5,4558.196221815966
ENT,Entorhinal area,34440.0,6036.54528723544
ENTl,"Entorhinal area, lateral part",23144.5,7255.187006524167
ENTl1,"Entorhinal area, lateral part, layer 1",4032.5,8215.44534284077
ENTl2,"Entorhinal area, lateral part, layer 2",7196.0,8980.441861825555
ENTl3,"Entorhinal area, lateral part, layer 3",4977.5,7566.566114819126
ENTl5,"Entorhinal area, lateral part, layer 5",4164.5,5826.894908287969
ENTl6a,"Entorhinal area, lateral part, layer 6a",2774.0,5279.881040892194
ENTm,"Entorhinal area, medial part, dorsal zone",11295.5,4490.917675123624
ENTm1,"Entorhinal area, medial part, dorsal zone, layer 1",2018.0,3239.8153722657034
ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",3165.0,5025.554508013695
ENTm3,"Entorhinal area, medial part, dorsal zone, layer 3",2347.0,4771.689062549636
ENTm5,"Entorhinal area, medial part, dorsal zone, layer 5",2391.5,5236.264112213479
ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",1374.0,4376.449509779525
EP,Endopiriform nucleus,6861.0,4919.216248613648
EPI,Epithalamus,1448.0,4351.002394478614
EPd,"Endopiriform nucleus, dorsal part",4594.0,5057.991708097507
EPv,"Endopiriform nucleus, ventral part",2267.0,4660.114344446585
EW,Edinger-Westphal nucleus,356.0,23344.26229508197
Eth,Ethmoid nucleus of the thalamus,18.0,151.79865594940043
FC,Fasciola cinerea,250.5,8048.192771084337
FF,Fields of Forel,132.0,1097.4279033515197
FL,Flocculus,2326.5,3482.8658978737344
FN,Fastigial nucleus,52.0,207.74032459425717
FOTU,Folium-tuber vermis (VII),1455.0,2747.4699790517216
FRP,"Frontal pole, cerebral cortex",2938.0,6043.907299668927
FRP1,"Frontal pole, layer 1",901.0,7112.865424941409
FRP2/3,"Frontal pole, layer 2/3",664.0,5675.213675213675
FRP5,"Frontal pole, layer 5",1088.5,5860.026917900404
FRP6a,"Frontal pole, layer 6a",280.0,4986.087924318308
FRP6b,"Frontal pole, layer 6b",4.5,8470.588235294117
FS,Fundus of striatum,783.5,3632.30713509598
GENd,"Geniculate group, dorsal thalamus",928.5,1306.5101246619618
GENv,"Geniculate group, ventral thalamus",2908.0,11095.266483844043
GPe,"Globus pallidus, external segment",551.5,704.6234927732971
GPi,"Globus pallidus, internal segment",64.5,304.7619047619048
GR,Gracile nucleus,521.5,12734.070965280427
GRN,Gigantocellular reticular nucleus,2545.0,1942.5163983303516
GU,Gustatory areas,5181.0,5861.999469636702
GU1,"Gustatory areas, layer 1",498.5,5041.719342604298
GU2/3,"Gustatory areas, layer 2/3",745.5,3708.6669257675867
GU4,"Gustatory areas, layer 4",370.0,5013.762439127673
GU5,"Gustatory areas, layer 5",2014.5,7401.572995005454
GU6a,"Gustatory areas, layer 6a",1479.5,6765.361531866247
GU6b,"Gustatory areas, layer 6b",73.0,3786.0615883306323
HATA,Hippocampo-amygdalar transition area,1211.0,5746.996885659202
HB,Hindbrain,83541.5,3498.1268409365402
HEM,Hemispheric regions,30478.0,1969.1810692941367
HIP,Hippocampal region,24385.5,2054.640434764292
HPF,Hippocampal formation,68590.5,3216.129764896368
HY,Hypothalamus,38011.0,4987.481599632607
I5,Intertrigeminal nucleus,17.0,774.3772241992882
IA,Intercalated amygdalar nucleus,563.0,6171.976704350805
IAD,Interanterodorsal nucleus of the thalamus,183.0,3238.0425767210395
IAM,Interanteromedial nucleus of the thalamus,206.5,9562.952243125907
IB,Interbrain,61532.5,3461.181154611811
IC,Inferior colliculus,20272.0,9117.862438770706
ICB,Infracerebellar nucleus,0.5,18.583042973286876
ICc,"Inferior colliculus, central nucleus",4846.0,8608.176746509755
ICd,"Inferior colliculus, dorsal nucleus",8705.5,13166.773011934301
ICe,"Inferior colliculus, external nucleus",6720.5,6725.859669424073
IF,Interfascicular nucleus raphe,275.0,6210.30345800988
IG,Induseum griseum,378.0,5939.602258777313
IGL,Intergeniculate leaflet of the lateral geniculate complex,479.0,13865.219357756672
III,Oculomotor nucleus,176.5,10778.625954198473
IIIn,oculomotor nerve,530.5,5035.147560433042
IIn,optic nerve,2759.0,4219.561736803115
ILA,Infralimbic area,4749.5,11218.187186300562
ILA1,"Infralimbic area, layer 1",302.0,3922.0779220779223
ILA2/3,"Infralimbic area, layer 2/3",617.5,8634.476731483504
ILA5,"Infralimbic area, layer 5",2649.0,15869.69952260601
ILA6a,"Infralimbic area, layer 6a",1176.0,11474.919957310565
ILA6b,"Infralimbic area, layer 6b",5.0,916.9054441260746
ILM,Intralaminar nuclei of the dorsal thalamus,2198.5,2728.0905847681092
IMD,Intermediodorsal nucleus of the thalamus,916.0,10059.025394646533
INC,Interstitial nucleus of Cajal,139.0,3481.800391389432
IO,Inferior olivary complex,757.0,2974.8250030701215
IP,Interposed nucleus,27.5,63.84445169949578
IPA,"Interpeduncular nucleus, apical",163.0,12046.189376443417
IPC,"Interpeduncular nucleus, caudal",173.5,4906.7609368095455
IPDL,"Interpeduncular nucleus, dorsolateral",80.5,4233.360723089564
IPDM,"Interpeduncular nucleus, dorsomedial",106.0,11557.069846678025
IPI,"Interpeduncular nucleus, intermediate",80.5,4930.1435406698565
IPL,"Interpeduncular nucleus, lateral",57.0,1839.6369137670197
IPN,Interpeduncular nucleus,978.5,5403.2786885245905
IPR,"Interpeduncular nucleus, rostral",247.5,6036.585365853658
IPRL,"Interpeduncular nucleus, rostrolateral",18.5,1957.0247933884298
IRN,Intermediate reticular nucleus,4811.5,3466.108372166318
ISN,Inferior salivatory nucleus,17.0,4730.434782608696
IV,Trochlear nucleus,26.0,7141.630901287554
IVn,trochlear nerve,10.5,2973.451327433628
In,olfactory nerve,27707.0,9271.206290781327
IntG,Intermediate geniculate nucleus,62.0,5413.369713506138
Isocortex,Isocortex,473513.0,7678.1624804972835
KF,Koelliker-Fuse subnucleus,236.5,2699.001426533524
LA,Lateral amygdalar nucleus,1376.0,3275.0939045706423
LAT,Lateral group of the dorsal thalamus,924.5,600.0141971990954
LAV,Lateral vestibular nucleus,33.0,229.11694510739858
LC,Locus ceruleus,26.5,3670.9956709956714
LD,Lateral dorsal nucleus of thalamus,261.5,515.0489321105435
LDT,Laterodorsal tegmental nucleus,832.0,8169.377109542805
LGd,Dorsal part of the lateral geniculate complex,490.0,1358.634433757907
LGd-co,"Dorsal part of the lateral geniculate complex, core",287.5,1374.5704467353953
LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",36.0,750.0
LGd-sh,"Dorsal part of the lateral geniculate complex, shell",166.5,1608.6956521739137
LGv,Ventral part of the lateral geniculate complex,2347.5,11595.276684417688
LH,Lateral habenula,342.5,1981.5584885192552
LHA,Lateral hypothalamic area,3131.0,3024.116386465848
LIN,Linear nucleus of the medulla,141.5,4589.964521033959
LING,Lingula (I),134.0,2188.8718734047984
LM,Lateral mammillary nucleus,79.5,2064.0973630831645
LP,Lateral posterior nucleus of the thalamus,426.0,707.1823204419891
LPO,Lateral preoptic area,587.0,2113.6491504444693
LRN,Lateral reticular nucleus,861.5,3024.9629670269383
LRNm,"Lateral reticular nucleus, magnocellular part",840.5,3281.800988347264
LRNp,"Lateral reticular nucleus, parvicellular part",21.0,732.0261437908496
LS,Lateral septal nucleus,10181.5,6667.648984937787
LSX,Lateral septal complex,11005.5,6161.71672017566
LSc,"Lateral septal nucleus, caudal (caudodorsal) part",3159.0,11235.120866907475
LSr,"Lateral septal nucleus, rostral (rostroventral) part",5057.5,5370.321210512344
LSv,"Lateral septal nucleus, ventral part",1965.0,6462.1550793895485
LT,Lateral terminal nucleus of the accessory optic tract,19.5,2162.9116117850954
LZ,Hypothalamic lateral zone,6939.0,2440.919434092933
MA,Magnocellular nucleus,678.0,3720.4835805538887
MA3,Medial accesory oculomotor nucleus,67.0,8424.361493123772
MARN,Magnocellular reticular nucleus,972.0,3640.236409386155
MB,Midbrain,83402.0,4530.05536827883
MBO,Mammillary body,2311.0,4523.749808839272
MBmot,"Midbrain, motor related",32502.5,3049.672112160659
MBsen,"Midbrain, sensory related",35533.5,10354.149592962902
MBsta,"Midbrain, behavioral state related",3522.0,3821.0574494414404
MD,Mediodorsal nucleus of thalamus,1676.0,2431.518338849345
MDRN,Medullary reticular nucleus,2855.0,2810.08258616182
MDRNd,"Medullary reticular nucleus, dorsal part",1806.5,3306.1481269659707
MDRNv,"Medullary reticular nucleus, ventral part",1048.5,2232.8552889894518
ME,Median eminence,578.5,14239.999999999998
MEA,Medial amygdalar nucleus,3580.5,3529.487870619946
MED,Medial group of the dorsal thalamus,3172.0,3140.5940594059402
MEPO,Median preoptic nucleus,303.0,13570.328901329598
MEV,Midbrain trigeminal nucleus,32.0,6872.48322147651
MEZ,Hypothalamic medial zone,10865.5,5631.616456106252
MG,Medial geniculate complex,438.5,1252.8012142315076
MGd,"Medial geniculate complex, dorsal part",57.0,661.588683351469
MGm,"Medial geniculate complex, medial part",192.0,1532.742921292254
MGv,"Medial geniculate complex, ventral part",189.5,1367.305524239008
MH,Medial habenula,1105.5,6911.399824167236
MM,Medial mammillary nucleus,1189.0,4364.303739389768
MMd,"Medial mammillary nucleus, dorsal part",338.0,8782.785221274868
MMl,"Medial mammillary nucleus, lateral part",290.5,2718.923661889441
MMm,"Medial mammillary nucleus, medial part",246.5,3630.0046019328115
MMme,"Medial mammillary nucleus, median part",289.5,7217.763926762757
MMp,"Medial mammillary nucleus, posterior part",24.5,1283.1423895253681
MO,Somatomotor areas,92213.0,7542.127748760685
MOB,Main olfactory bulb,231164.0,28083.598771454926
MOp,Primary motor area,42586.5,7502.431961507018
MOp1,"Primary motor area, Layer 1",4344.5,6529.860736009017
MOp2/3,"Primary motor area, Layer 2/3",15207.5,8244.153248007318
MOp5,"Primary motor area, Layer 5",14657.5,8956.272675195723
MOp6a,"Primary motor area, Layer 6a",8054.5,5600.512803798224
MOp6b,"Primary motor area, Layer 6b",322.5,3518.581657006478
MOs,Secondary motor area,49626.5,7576.52873793541
MOs1,"Secondary motor area, layer 1",9970.0,8595.869650146167
MOs2/3,"Secondary motor area, layer 2/3",12512.0,6575.367662153174
MOs5,"Secondary motor area, layer 5",19883.5,8793.327667101998
MOs6a,"Secondary motor area, layer 6a",7100.0,5971.796927363289
MOs6b,"Secondary motor area, layer 6b",161.0,4329.411764705883
MPN,Medial preoptic nucleus,1157.5,5688.39745066421
MPO,Medial preoptic area,1762.5,6337.434687341985
MPT,Medial pretectal area,231.5,10485.49186128804
MRN,Midbrain reticular nucleus,4508.5,1754.8883063804942
MS,Medial septal nucleus,1024.0,4787.143900657415
MSC,Medial septal complex,2305.0,3933.3422210371946
MT,Medial terminal nucleus of the accessory optic tract,41.5,1933.042212518195
MTN,Midline group of the dorsal thalamus,6217.0,10330.9965207457
MV,Medial vestibular nucleus,1918.5,2112.0495398641096
MY,Medulla,47426.5,3057.3209400521355
MY-mot,"Medulla, motor related",25572.5,2924.3155739315944
MY-sat,"Medulla, behavioral state related",658.0,5267.29205753596
MY-sen,"Medulla, sensory related",14929.0,3761.1195307733187
NB,Nucleus of the brachium of the inferior colliculus,180.0,4099.644128113879
ND,Nucleus of Darkschewitsch,277.5,6057.298772169168
NDB,Diagonal band nucleus,1281.0,3442.5362166701657
NI,Nucleus incertus,356.5,6607.587604981176
NLL,Nucleus of the lateral lemniscus,467.5,1290.7679033649697
NLOT,Nucleus of the lateral olfactory tract,1010.5,6342.257526723546
NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",325.5,5843.478260869565
NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer",530.0,7097.719188114668
NLOT3,"Nucleus of the lateral olfactory tract, layer 3",155.0,5353.480841878036
NOD,Nodulus (X),1596.5,2094.285480036074
NOT,Nucleus of the optic tract,632.0,6150.851581508516
NPC,Nucleus of the posterior commissure,870.5,6010.572877333046
NR,Nucleus of Roller,96.0,6301.538461538463
NTB,Nucleus of the trapezoid body,167.5,2167.8463094034378
NTS,Nucleus of the solitary tract,3878.0,9112.31046003598
OLF,Olfactory areas,380360.0,16292.08038742735
OP,Olivary pretectal nucleus,185.5,6372.517444981213
ORB,Orbital area,24779.0,8385.581412564708
ORBl,"Orbital area, lateral part",9165.5,6721.65373729503
ORBl1,"Orbital area, lateral part, layer 1",572.5,3057.1547768043392
ORBl2/3,"Orbital area, lateral part, layer 2/3",2831.0,9113.424878024245
ORBl5,"Orbital area, lateral part, layer 5",4538.0,7512.079044022554
ORBl6a,"Orbital area, lateral part, layer 6a",1156.0,4839.984299358891
ORBl6b,"Orbital area, lateral part, layer 6b",68.0,2991.0652920962193
ORBm,"Orbital area, medial part",8529.5,12131.653221325865
ORBm1,"Orbital area, medial part, layer 1",1646.0,7634.729670966808
ORBm2/3,"Orbital area, medial part, layer 2/3",2405.5,15355.276281667666
ORBm5,"Orbital area, medial part, layer 5",3842.5,16303.36780694776
ORBm6a,"Orbital area, medial part, layer 6a",629.5,6752.9332886356015
ORBm6b,"Orbital area, medial part, layer 6b",6.0,3121.951219512195
ORBvl,"Orbital area, ventrolateral part",7084.0,7974.8113489648385
ORBvl1,"Orbital area, ventrolateral part, layer 1",982.0,5085.201068047576
ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",2992.0,11433.484595175541
ORBvl5,"Orbital area, ventrolateral part, layer 5",2543.0,8218.96778103222
ORBvl6a,"Orbital area, ventrolateral part, layer 6a",548.0,4599.003409388932
ORBvl6b,"Orbital area, ventrolateral part, layer 6b",19.0,3848.1012658227846
OT,Olfactory tubercle,8766.0,4589.829177302179
OV,Vascular organ of the lamina terminalis,150.0,32764.505119453926
P,Pons,36115.0,4315.15314447444
P-mot,"Pons, motor related",18145.5,6262.568958729918
P-sat,"Pons, behavioral state related",4547.5,2626.2881481347795
P-sen,"Pons, sensory related",4561.5,2371.053807106599
P5,Peritrigeminal zone,177.5,1104.199066874028
PA,Posterior amygdalar nucleus,1612.5,3339.589670571484
PAA,Piriform-amygdalar area,3442.0,5778.349028145739
PAG,Periaqueductal gray,12598.0,5363.561374098614
PAL,Pallidum,11231.0,2391.403000964834
PALc,"Pallidum, caudal region",2093.5,3105.7950857672695
PALd,"Pallidum, dorsal region",616.0,619.5138048619514
PALm,"Pallidum, medial region",2988.5,3900.5608239012954
PALv,"Pallidum, ventral region",4399.5,2593.6147086457513
PAR,Parasubiculum,1494.0,3205.686123311094
PARN,Parvicellular reticular nucleus,4213.5,3755.504491330687
PAS,Parasolitary nucleus,54.5,3905.9350503919372
PB,Parabrachial nucleus,1814.5,3235.123690661912
PBG,Parabigeminal nucleus,3.5,157.96897038081806
PC5,Parvicellular motor 5 nucleus,121.0,3472.6457399103138
PCG,Pontine central gray,1259.5,4625.731665327672
PCN,Paracentral nucleus,98.0,820.9424083769634
PD,Posterodorsal preoptic nucleus,30.0,5133.689839572193
PDTg,Posterodorsal tegmental nucleus,41.5,1731.4211212516298
PERI,Perirhinal area,3410.0,8632.911392405063
PERI1,"Perirhinal area, layer 1",1171.0,10555.492957746479
PERI2/3,"Perirhinal area, layer 2/3",1522.0,9138.568345998687
PERI5,"Perirhinal area, layer 5",519.0,6178.5714285714275
PERI6a,"Perirhinal area, layer 6a",158.5,5870.37037037037
PERI6b,"Perirhinal area, layer 6b",39.5,6062.350119904077
PF,Parafascicular nucleus,440.0,1795.1169758398673
PFL,Paraflocculus,3054.0,1066.206994365014
PG,Pontine gray,9105.0,18887.592376507193
PGRN,Paragigantocellular reticular nucleus,1568.0,3304.4222727123056
PGRNd,"Paragigantocellular reticular nucleus, dorsal part",531.0,4445.839874411303
PGRNl,"Paragigantocellular reticular nucleus, lateral part",1037.0,2920.48404840484
PH,Posterior hypothalamic nucleus,2570.5,7242.120091565415
PHY,Perihypoglossal nuclei,1546.5,11375.244224801747
PIL,Posterior intralaminar thalamic nucleus,197.0,2245.814036337727
PIR,Piriform area,48864.0,8449.38817305692
PL,Prelimbic area,16204.0,13396.925461826637
PL1,"Prelimbic area, layer 1",2105.0,7959.352475481508
PL2/3,"Prelimbic area, layer 2/3",3131.0,14811.442087367876
PL5,"Prelimbic area, layer 5",9172.5,18683.046370261927
PL6a,"Prelimbic area, layer 6a",1772.5,7640.086206896551
PL6b,"Prelimbic area, layer 6b",23.0,2145.7725947521863
PMd,Dorsal premammillary nucleus,227.5,3451.872925557136
PMv,Ventral premammillary nucleus,358.0,3658.89492175024
PN,Paranigral nucleus,34.5,3101.123595505618
PO,Posterior complex of the thalamus,55.0,87.85284648214241
POL,Posterior limiting nucleus of the thalamus,208.0,2021.257212268448
POR,"Superior olivary complex, periolivary region",1398.0,7638.039952193956
POST,Postsubiculum,746.0,1380.9220801758547
PP,Peripeduncular nucleus,89.5,2898.785425101215
PPN,Pedunculopontine nucleus,504.0,1132.2264733756888
PPT,Posterior pretectal nucleus,327.0,4531.831961888263
PPY,Parapyramidal nucleus,70.5,1490.5847373637264
PR,Perireunensis nucleus,80.0,1056.3234990715905
PRC,Precommissural nucleus,852.5,9958.021536776785
PRE,Presubiculum,1029.0,2226.9714594887055
PRM,Paramedian lobule,5691.5,2331.581608812817
PRNc,"Pontine reticular nucleus, caudal part",1482.5,1262.7600250209616
PRNr,Pontine reticular nucleus,1350.5,1143.1140971551758
PRP,Nucleus prepositus,1450.5,12015.531969971526
